date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:34	85186/85186	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:32%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/tops/shirts-blouses.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/tops/shirts-blouses.html	(from )
09:56:36	85054/85054	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:34%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/tops/vests.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/tops/vests.html	(from )
09:56:39	118059/118059	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:36%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/bags-purses.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/bags-purses.html	(from )
09:56:41	113547/113547	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:38%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/bags-purses/bags.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/bags-purses/bags.html	(from )
09:56:41	103563/103563	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:40%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/bags-purses/designer-handbags.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/bags-purses/designer-handbags.html	(from )
09:56:43	85121/85121	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:41%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/bags-purses/purses.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/bags-purses/purses.html	(from )
09:56:46	85223/85223	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:43%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/bags-purses/shoulder-bags.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/bags-purses/shoulder-bags.html	(from )
09:56:46	497364/497364	---M--	200	added ('OK')	application/javascript	etag:%2261d01f8-796d4-4f0a9d6ef7840%22	http://ultimo.infortis-themes.com/demo/media/js/7e7013467a0aaa9b190144598ee32819.js	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/media/js/7e7013467a0aaa9b190144598ee32819.js	(from )
09:56:47	116483/116483	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:45%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/shoes.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/shoes.html	(from )
09:56:49	113849/113849	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:47%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/shoes/flat-shoes.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/shoes/flat-shoes.html	(from )
09:56:51	85141/85141	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:49%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/shoes/flat-sandals.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/shoes/flat-sandals.html	(from )
09:56:54	85059/85059	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:51%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/shoes/boots.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/shoes/boots.html	(from )
09:56:58	85059/85059	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:54%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/shoes/heels.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/shoes/heels.html	(from )
09:57:05	85563/85563	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:56:58%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/jewelry.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/jewelry.html	(from )
09:57:07	85133/85133	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:05%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/jewelry/bracelets.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/jewelry/bracelets.html	(from )
09:57:10	85265/85265	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:07%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/jewelry/necklaces-pendants.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/jewelry/necklaces-pendants.html	(from )
09:57:13	85195/85195	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:10%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/jewelry/pins-brooches.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/jewelry/pins-brooches.html	(from )
09:57:15	86624/86624	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Feb%202014%2008:57:13%20GMT	http://ultimo.infortis-themes.com/demo/second2/fashion/dresses.html	/home/rdjong/websites/templates1/ultimo.infortis-themes.com/demo/second2/fashion/dresses.html	(from )
